Id,Name,Pagamento total em euro,Porcentagem da Comissao,Criptomoeda escolhida,Data do Pagamento,IBAN,Valor total da comissao em euro,Valor a receber em criptomoeda,Valor a receber em euro
191,Randall Perkins,2500.0,0.0,null,2020-01-25,PT50012345678901234567891,0.0,0,0
192,Sarah Bell,4000.0,0.0,null,2020-01-25,PT50012345678901234567892,0.0,0,0
193,Britney Everett,3900.0,0.0,null,2020-01-25,PT50012345678901234567893,0.0,0,0
194,Samuel McCain,3200.0,0.0,null,2020-01-25,PT50012345678901234567894,0.0,0,0
195,Vance Jones,2800.0,0.0,null,2020-01-25,PT50012345678901234567895,0.0,0,0
196,Alana Walsh,3100.0,0.0,null,2020-01-25,PT50012345678901234567896,0.0,0,0
197,Kevin Feeney,3000.0,0.0,null,2020-01-25,PT50012345678901234567897,0.0,0,0
198,Donald OConnell,2600.0,0.0,null,2020-01-25,PT50012345678901234567898,0.0,0,0
199,Douglas Grant,2600.0,0.0,null,2020-01-25,PT50012345678901234567899,0.0,0,0
200,Jennifer Whalen,4400.0,0.0,null,2020-01-25,PT50012345678901234567890,0.0,0,0
201,Michael Hartstein,13000.0,0.0,null,2020-01-25,PT50012345678901234567891,0.0,0,0
202,Pat Fay,6000.0,0.0,null,2020-01-25,PT50012345678901234567892,0.0,0,0
203,Susan Mavris,6500.0,0.0,null,2020-01-25,PT50012345678901234567893,0.0,0,0
204,Hermann Baer,10000.0,0.0,null,2020-01-25,PT50012345678901234567894,0.0,0,0
205,Shelley Higgins,12000.0,0.0,null,2020-01-25,PT50012345678901234567895,0.0,0,0
206,William Gietz,8300.0,0.0,null,2020-01-25,PT50012345678901234567896,0.0,0,0
